params,total_trades,win_rate,total_pnl,final_balance,profit_factor,max_drawdown,expectancy,avg_win,avg_loss
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 35}",66,43.93939393939394,-329.0434608188871,9670.956539181117,0.9176334687059378,-11.522085541151867,-4.98550698210434,126.40775976158919,107.96941875418847
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 40}",63,44.44444444444444,-232.89626687084328,9767.103733129155,0.93867417819301,-10.302046062461171,-3.6967661408070214,127.31394929788074,108.50533849175723
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 35}",68,44.11764705882353,-310.4167792955532,9689.583220704455,0.9243574801406431,-11.351673242451456,-4.56495263669931,126.44390678528224,107.99299954879
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 40}",65,44.61538461538462,-214.0844016840555,9785.915598315947,0.9452165969979577,-10.129283914836988,-3.29360617975469,127.3706486103679,108.55092253846455
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",58,44.827586206896555,-37.29396641069653,9962.706033589297,0.9890562101086289,-10.899069153484431,-0.6429994208740837,129.6338606510511,106.49294822931328
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",57,45.614035087719294,92.96494384782073,10092.964943847819,1.028009985744441,-9.736354816206585,1.6309639271547525,131.22914788550545,107.06428713468776
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",58,44.827586206896555,-32.32608814674852,9967.673911853255,0.9905235921982305,-10.470893554539733,-0.5573463473577362,129.95736206017105,106.60054692847487
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",57,45.614035087719294,97.99777538919814,10097.997775389193,1.029495372948497,-9.302591779476044,1.7192592173543488,131.55682274769384,107.17676180809167
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",84,35.714285714285715,-1004.4723074121596,8995.527692587833,0.8298720228226754,-13.797619006248812,-11.958003659668535,163.32478632691164,109.33733142999087
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",78,37.17948717948718,-623.1551502268161,9376.844849773186,0.8866637347227487,-11.44091491719966,-7.989168592651495,168.10794499073594,112.20990928486039
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",86,36.04651162790697,-951.440586240786,9048.559413759216,0.8425113640266749,-13.289426403280569,-11.06326263070681,164.18993297003203,109.8423365147596
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",80,37.5,-567.8754336238485,9432.124566376155,0.8992311777430044,-10.918828735288104,-7.098442920298112,168.91841595163046,112.70855824345526
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 35}",62,40.32258064516129,336.18527715225053,10336.185277152257,1.0824871708377448,-12.45898079663084,5.422343179875014,176.47168443087008,110.15153604377028
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 40}",60,41.66666666666667,590.9272474332917,10590.927247433301,1.1520299426498706,-11.251860352097703,9.848787457221533,179.11363277657608,111.05467348517459
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 35}",63,41.269841269841265,534.2192921731821,10534.219292173184,1.1295646020681,-10.781756651840361,8.479671304336236,179.13107335845157,111.43753013909614
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 40}",61,42.62295081967213,793.8419388175428,10793.841938817539,1.2018361226308014,-9.551508631529998,13.013802275697415,181.80551347501887,112.37432604379852
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",56,41.07142857142857,567.7782694942821,10567.77826949428,1.1565112379402436,-9.813374216467132,10.138897669540754,182.41277972448464,109.93077770208681
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",54,40.74074074074074,499.683287771198,10499.683287771204,1.141690752765152,-8.636492203754381,9.253394217985132,183.01181135884218,110.20551756635409
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",56,41.07142857142857,573.0647947985717,10573.064794798569,1.1576520933696919,-9.813374216467132,10.23329990711737,182.95918319536514,110.15140662711593
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",54,40.74074074074074,504.9357485980931,10504.935748598093,1.1428816767931547,-8.636492203754381,9.350662011075812,183.58541263673442,110.43572904406449
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",79,32.91139240506329,-410.7090196376354,9589.29098036236,0.930470040938188,-13.460357699978948,-5.198848349843487,211.39334616020034,111.45162301514799
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",74,35.13513513513514,189.78432569624056,10189.784325696244,1.034370424369312,-12.103866385392582,2.564653049949186,219.67376481742707,115.03611582410132
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",79,31.645569620253166,-718.1596808590671,9281.84031914093,0.8776904207136168,-16.23498100648771,-9.090628871633754,206.13982195356166,108.73435610552053
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",74,33.78378378378378,-136.91927888253065,9863.080721117472,0.9750888331590407,-14.921981348632235,-1.8502605254395945,214.3752811498601,112.1694144414088
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 35}",58,37.93103448275862,983.5172588622061,10983.517258862204,1.2412549138512612,-10.288190779487463,16.957194118313893,230.0086227792165,113.2409011744599
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 40}",55,38.18181818181819,984.4771746123154,10984.477174612317,1.254972766796891,-9.05113688165063,17.89958499295119,230.74211100912711,113.56197519351042
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 35}",59,38.983050847457626,1248.9279463207045,11248.927946320704,1.3017355518481388,-9.881390163621328,21.16827027662211,234.26414857594642,114.9763186368351
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 40}",56,39.285714285714285,1249.911057909916,11249.911057909918,1.3187566040784409,-8.638726811556857,22.319840319819946,235.05088223189566,115.32965738799375
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",50,32.0,-108.75089878254572,9891.249101217456,0.9702844498307062,-10.499042976829312,-2.175017975650931,221.93621141258328,107.63912592305526
